handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
logo-tee,Gold Logo Tee,Black heavyweight tee with metallic gold foil logo. Premium 100% cotton. Oversized fit.,Lil' Tax Bracket,T-Shirts,bestseller;black;gold,44.99,54.99,GOLD-TEE-S,70,0.5,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Small
logo-tee,Gold Logo Tee,Black heavyweight tee with metallic gold foil logo. Premium 100% cotton. Oversized fit.,Lil' Tax Bracket,T-Shirts,bestseller;black;gold,44.99,54.99,GOLD-TEE-M,100,0.5,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Medium
logo-tee,Gold Logo Tee,Black heavyweight tee with metallic gold foil logo. Premium 100% cotton. Oversized fit.,Lil' Tax Bracket,T-Shirts,bestseller;black;gold,44.99,54.99,GOLD-TEE-L,90,0.55,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Large
logo-tee,Gold Logo Tee,Black heavyweight tee with metallic gold foil logo. Premium 100% cotton. Oversized fit.,Lil' Tax Bracket,T-Shirts,bestseller;black;gold,44.99,54.99,GOLD-TEE-XL,65,0.6,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,X-Large
logo-tee,Gold Logo Tee,Black heavyweight tee with metallic gold foil logo. Premium 100% cotton. Oversized fit.,Lil' Tax Bracket,T-Shirts,bestseller;black;gold,46.99,56.99,GOLD-TEE-2X,40,0.65,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,2X-Large
premium-hoodie,Penthouse Hoodie,Heavyweight black hoodie with embossed logo. Gold aglets on drawstrings. Luxury fleece interior.,Lil' Tax Bracket,Hoodies,premium;black;luxury,124.99,149.99,PENT-HOOD-S,30,1.4,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Small
premium-hoodie,Penthouse Hoodie,Heavyweight black hoodie with embossed logo. Gold aglets on drawstrings. Luxury fleece interior.,Lil' Tax Bracket,Hoodies,premium;black;luxury,124.99,149.99,PENT-HOOD-M,50,1.45,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Medium
premium-hoodie,Penthouse Hoodie,Heavyweight black hoodie with embossed logo. Gold aglets on drawstrings. Luxury fleece interior.,Lil' Tax Bracket,Hoodies,premium;black;luxury,124.99,149.99,PENT-HOOD-L,45,1.5,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Large
premium-hoodie,Penthouse Hoodie,Heavyweight black hoodie with embossed logo. Gold aglets on drawstrings. Luxury fleece interior.,Lil' Tax Bracket,Hoodies,premium;black;luxury,124.99,149.99,PENT-HOOD-XL,35,1.55,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,X-Large
snapback,Crown Snapback,Black structured snapback with gold embroidered crown logo. Premium wool blend.,Lil' Tax Bracket,Headwear,hats;black;gold,39.99,,SNAP-CROWN,120,0.25,lb,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,,
